NC_010554.1 Proteus mirabilis HI4320, complete genome
NC_010555.1 Proteus mirabilis HI4320 plasmid pHI4320, complete sequence
NZ_LJCS01000001.1 Photorhabdus heterorhabditis strain VMG contig001, whole genome shotgun sequence
NZ_LJCS01000002.1 Photorhabdus heterorhabditis strain VMG contig002, whole genome shotgun sequence
NZ_LJCS01000003.1 Photorhabdus heterorhabditis strain VMG contig003, whole genome shotgun sequence
NZ_LJCS01000004.1 Photorhabdus heterorhabditis strain VMG contig004, whole genome shotgun sequence
NZ_LJCS01000005.1 Photorhabdus heterorhabditis strain VMG contig005, whole genome shotgun sequence
NZ_LJCS01000006.1 Photorhabdus heterorhabditis strain VMG contig006, whole genome shotgun sequence
NZ_LJCS01000007.1 Photorhabdus heterorhabditis strain VMG contig007, whole genome shotgun sequence
NZ_LJCS01000008.1 Photorhabdus heterorhabditis strain VMG contig008, whole genome shotgun sequence
NZ_LJCS01000009.1 Photorhabdus heterorhabditis strain VMG contig009, whole genome shotgun sequence
NZ_LJCS01000010.1 Photorhabdus heterorhabditis strain VMG contig010, whole genome shotgun sequence
NZ_LJCS01000011.1 Photorhabdus heterorhabditis strain VMG contig011, whole genome shotgun sequence
NZ_LJCS01000012.1 Photorhabdus heterorhabditis strain VMG contig012, whole genome shotgun sequence
NZ_LJCS01000013.1 Photorhabdus heterorhabditis strain VMG contig013, whole genome shotgun sequence
NZ_LJCS01000014.1 Photorhabdus heterorhabditis strain VMG contig014, whole genome shotgun sequence
NZ_LJCS01000016.1 Photorhabdus heterorhabditis strain VMG contig016, whole genome shotgun sequence
NZ_LJCS01000017.1 Photorhabdus heterorhabditis strain VMG contig017, whole genome shotgun sequence
NZ_LJCS01000018.1 Photorhabdus heterorhabditis strain VMG contig018, whole genome shotgun sequence
NZ_LJCS01000019.1 Photorhabdus heterorhabditis strain VMG contig019, whole genome shotgun sequence
NZ_LJCS01000020.1 Photorhabdus heterorhabditis strain VMG contig020, whole genome shotgun sequence
NZ_LJCS01000021.1 Photorhabdus heterorhabditis strain VMG contig021, whole genome shotgun sequence
NZ_LJCS01000022.1 Photorhabdus heterorhabditis strain VMG contig022, whole genome shotgun sequence
NZ_LJCS01000023.1 Photorhabdus heterorhabditis strain VMG contig023, whole genome shotgun sequence
NZ_LJCS01000024.1 Photorhabdus heterorhabditis strain VMG contig024, whole genome shotgun sequence
NZ_LJCS01000025.1 Photorhabdus heterorhabditis strain VMG contig025, whole genome shotgun sequence
NZ_LJCS01000026.1 Photorhabdus heterorhabditis strain VMG contig026, whole genome shotgun sequence
NZ_LJCS01000027.1 Photorhabdus heterorhabditis strain VMG contig027, whole genome shotgun sequence
NZ_LJCS01000028.1 Photorhabdus heterorhabditis strain VMG contig028, whole genome shotgun sequence
NZ_LJCS01000029.1 Photorhabdus heterorhabditis strain VMG contig029, whole genome shotgun sequence
NZ_LJCS01000030.1 Photorhabdus heterorhabditis strain VMG contig030, whole genome shotgun sequence
NZ_LJCS01000031.1 Photorhabdus heterorhabditis strain VMG contig031, whole genome shotgun sequence
NZ_LJCS01000032.1 Photorhabdus heterorhabditis strain VMG contig032, whole genome shotgun sequence
NZ_LJCS01000033.1 Photorhabdus heterorhabditis strain VMG contig033, whole genome shotgun sequence
NZ_LJCS01000034.1 Photorhabdus heterorhabditis strain VMG contig034, whole genome shotgun sequence
NZ_LJCS01000035.1 Photorhabdus heterorhabditis strain VMG contig035, whole genome shotgun sequence
NZ_LJCS01000036.1 Photorhabdus heterorhabditis strain VMG contig036, whole genome shotgun sequence
NZ_LJCS01000037.1 Photorhabdus heterorhabditis strain VMG contig037, whole genome shotgun sequence
NZ_LJCS01000038.1 Photorhabdus heterorhabditis strain VMG contig038, whole genome shotgun sequence
NZ_LJCS01000039.1 Photorhabdus heterorhabditis strain VMG contig039, whole genome shotgun sequence
NZ_LJCS01000040.1 Photorhabdus heterorhabditis strain VMG contig040, whole genome shotgun sequence
NZ_LJCS01000041.1 Photorhabdus heterorhabditis strain VMG contig041, whole genome shotgun sequence
NZ_LJCS01000042.1 Photorhabdus heterorhabditis strain VMG contig042, whole genome shotgun sequence
NZ_LJCS01000043.1 Photorhabdus heterorhabditis strain VMG contig043, whole genome shotgun sequence
NZ_LJCS01000044.1 Photorhabdus heterorhabditis strain VMG contig044, whole genome shotgun sequence
NZ_LJCS01000045.1 Photorhabdus heterorhabditis strain VMG contig045, whole genome shotgun sequence
NZ_LJCS01000046.1 Photorhabdus heterorhabditis strain VMG contig046, whole genome shotgun sequence
NZ_LJCS01000047.1 Photorhabdus heterorhabditis strain VMG contig047, whole genome shotgun sequence
NZ_LJCS01000048.1 Photorhabdus heterorhabditis strain VMG contig048, whole genome shotgun sequence
