NC_013715.1 Rothia mucilaginosa DY-18, complete genome
NC_012491.1 Brevibacillus brevis NBRC 100599, complete genome
NC_000948.1 Borreliella burgdorferi B31 plasmid cp32-1, complete sequence
NC_000949.1 Borreliella burgdorferi B31 plasmid cp32-3, complete sequence
NC_000950.1 Borreliella burgdorferi B31 plasmid cp32-4, complete sequence
NC_000951.1 Borreliella burgdorferi B31 plasmid cp32-6, complete sequence
NC_000952.1 Borreliella burgdorferi B31 plasmid cp32-7, complete sequence
NC_000953.1 Borreliella burgdorferi B31 plasmid cp32-8, complete sequence
NC_000954.1 Borreliella burgdorferi B31 plasmid cp32-9, complete sequence
NC_000955.2 Borreliella burgdorferi B31 plasmid lp21, complete sequence
NC_000956.1 Borreliella burgdorferi B31 plasmid lp56, complete sequence
NC_000957.1 Borreliella burgdorferi B31 plasmid lp5, complete sequence
NC_001318.1 Borreliella burgdorferi B31, complete sequence
NC_001849.2 Borreliella burgdorferi B31 plasmid lp17, complete sequence
NC_001850.1 Borreliella burgdorferi B31 plasmid lp25, complete sequence
NC_001851.2 Borreliella burgdorferi B31 plasmid lp28-1, complete sequence
NC_001852.1 Borreliella burgdorferi B31 plasmid lp28-2, complete sequence
NC_001853.1 Borreliella burgdorferi B31 plasmid lp28-3, complete sequence
NC_001854.1 Borreliella burgdorferi B31 plasmid lp28-4, complete sequence
NC_001855.1 Borreliella burgdorferi B31 plasmid lp36, complete sequence
NC_001856.1 Borreliella burgdorferi B31 plasmid lp38, complete sequence
NC_001857.2 Borreliella burgdorferi B31 plasmid lp54, complete sequence
NC_001903.1 Borreliella burgdorferi B31 plasmid cp26, complete sequence
NC_001904.1 Borreliella burgdorferi B31 plasmid cp9, complete sequence
NC_004557.1 Clostridium tetani E88, complete sequence
NC_004565.1 Clostridium tetani E88 plasmid pE88, complete sequence
NC_005241.1 Cupriavidus necator H16 megaplasmid pHG1, complete sequence
NC_008313.1 Cupriavidus necator H16 chromosome 1, complete sequence
NC_006351.1 Burkholderia pseudomallei K96243 chromosome 2, complete sequence
NC_012892.2 Escherichia coli BL21(DE3), complete genome
NC_005362.1 Lactobacillus johnsonii NCC 533, complete sequence
NC_005823.1 Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130 chromosome I, complete sequence
NC_005824.1 Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130 chromosome II, complete sequence
NC_013209.1 Acetobacter pasteurianus IFO 3283-01, complete genome
NC_013210.1 Acetobacter pasteurianus IFO 3283-01 plasmid pAPA01-011, complete sequence
NC_013211.1 Acetobacter pasteurianus IFO 3283-01 plasmid pAPA01-020, complete sequence
NC_013212.1 Acetobacter pasteurianus IFO 3283-01 plasmid pAPA01-030, complete sequence
NC_013213.1 Acetobacter pasteurianus IFO 3283-01 plasmid pAPA01-040, complete sequence
NC_013214.1 Acetobacter pasteurianus IFO 3283-01 plasmid pAPA01-050, complete sequence
NC_013215.1 Acetobacter pasteurianus IFO 3283-01 plasmid pAPA01-060, complete sequence
NC_002947.4 Pseudomonas putida KT2440, complete sequence
NC_009465.1 Candidatus Vesicomyosocius okutanii, complete genome
NC_002162.1 Ureaplasma parvum serovar 3 str. ATCC 700970, complete genome
NC_010371.1 Finegoldia magna ATCC 29328 plasmid pFMC, complete sequence
NC_010376.1 Finegoldia magna ATCC 29328, complete genome
NC_003131.1 Yersinia pestis CO92 plasmid pCD1, complete sequence
NC_003132.1 Yersinia pestis CO92 plasmid pPCP1, complete sequence
NC_003134.1 Yersinia pestis CO92 plasmid pMT1, complete sequence
NC_000958.1 Deinococcus radiodurans R1 plasmid MP1, complete sequence
NC_000959.1 Deinococcus radiodurans R1 plasmid CP1, complete sequence
NC_001263.1 Deinococcus radiodurans R1 chromosome 1, complete sequence
NC_001264.1 Deinococcus radiodurans R1 chromosome 2, complete sequence
NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
NC_006834.1 Xanthomonas oryzae pv. oryzae KACC 10331, complete genome
NC_002182.1 Chlamydia muridarum str. Nigg plasmid pMoPn, complete sequence
NC_002620.2 Chlamydia muridarum str. Nigg, complete sequence
NC_013799.1 Hydrogenobacter thermophilus TK-6, complete genome
NC_010793.1 Orientia tsutsugamushi str. Ikeda, complete genome
NC_008226.1 Clostridioides difficile 630 plasmid pCD630, complete sequence
NC_009089.1 Clostridioides difficile 630, complete genome
NC_003902.1 Xanthomonas campestris pv. campestris str. ATCC 33913, complete sequence
NC_004113.1 Thermosynechococcus elongatus BP-1, complete genome
NC_007295.1 Mycoplasma hyopneumoniae J, complete sequence
NC_003240.1 Nostoc sp. PCC 7120 = FACHB-418 plasmid pCC7120beta, complete sequence
NC_003241.1 Nostoc sp. PCC 7120 = FACHB-418 plasmid pCC7120zeta, complete sequence
NC_003267.1 Nostoc sp. PCC 7120 = FACHB-418 plasmid pCC7120gamma, complete sequence
NC_003270.1 Nostoc sp. PCC 7120 = FACHB-418 plasmid pCC7120epsilon, complete sequence
NC_003272.1 Nostoc sp. PCC 7120 = FACHB-418, complete genome
NC_003273.1 Nostoc sp. PCC 7120 = FACHB-418 plasmid pCC7120delta, complete sequence
NC_003276.1 Nostoc sp. PCC 7120 = FACHB-418 plasmid pCC7120alpha, complete sequence
NC_004431.1 Escherichia coli CFT073, complete sequence
NC_003037.1 Sinorhizobium meliloti 1021 plasmid pSymA, complete sequence
NC_003047.1 Sinorhizobium meliloti 1021, complete genome
NC_003078.1 Sinorhizobium meliloti 1021 plasmid pSymB, complete sequence
NC_013364.1 Escherichia coli O111:H- str. 11128, complete genome
NC_013365.1 Escherichia coli O111:H- str. 11128 plasmid pO111_1, complete sequence
NC_013366.1 Escherichia coli O111:H- str. 11128 plasmid pO111_3, complete sequence
NC_013367.1 Escherichia coli O111:H- str. 11128 plasmid pO111_4, complete sequence
NC_013368.1 Escherichia coli O111:H- str. 11128 plasmid pO111_5, complete sequence
NC_013370.1 Escherichia coli O111:H- str. 11128 plasmid pO111_2, complete sequence
NC_006274.1 Bacillus cereus E33L, complete genome
NC_007103.1 Bacillus cereus E33L plasmid pE33L466, complete sequence
NC_007104.1 Bacillus cereus E33L plasmid pE33L5, complete sequence
NC_007105.1 Bacillus cereus E33L plasmid pE33L54, complete sequence
NC_007106.1 Bacillus cereus E33L plasmid pE33L8, complete sequence
NC_007107.1 Bacillus cereus E33L plasmid pE33L9, complete sequence
NC_004547.2 Pectobacterium atrosepticum SCRI1043, complete genome
NC_005125.1 Gloeobacter violaceus PCC 7421, complete genome
NC_013353.1 Escherichia coli O103:H2 str. 12009, complete genome
NC_013354.1 Escherichia coli O103:H2 str. 12009 plasmid pO103, complete sequence
NC_005043.1 Chlamydia pneumoniae TW-183, complete sequence
NC_004463.1 Bradyrhizobium diazoefficiens USDA 110, complete genome
NC_004757.1 Nitrosomonas europaea ATCC 19718, complete genome
NC_007322.2 Bacillus anthracis str. 'Ames Ancestor' plasmid pXO1, complete sequence
NC_007323.3 Bacillus anthracis str. 'Ames Ancestor' plasmid pXO2, complete sequence
NC_007530.2 Bacillus anthracis str. 'Ames Ancestor', complete sequence
NC_008226.2 Clostridioides difficile 630 plasmid pCD630, complete sequence
NC_009089.1 Clostridioides difficile 630, complete genome
NC_005085.1 Chromobacterium violaceum ATCC 12472, complete sequence
NC_009342.1 Corynebacterium glutamicum R, complete genome
NC_009343.1 Corynebacterium glutamicum R plasmid pCGR1, complete sequence
NC_008769.1 Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2, complete genome
NC_006932.1 Brucella abortus bv. 1 str. 9-941 chromosome I, complete sequence
NC_006933.1 Brucella abortus bv. 1 str. 9-941 chromosome II, complete sequence
NC_008618.1 Bifidobacterium adolescentis ATCC 15703, complete genome
NC_002977.6 Methylococcus capsulatus str. Bath, complete genome
NC_002678.2 Mesorhizobium japonicum MAFF 303099, complete genome
NC_002679.1 Mesorhizobium japonicum MAFF 303099 plasmid pMLa, complete sequence
NC_002682.1 Mesorhizobium japonicum MAFF 303099 plasmid pMLb, complete sequence
NC_006969.2 Rhodococcus opacus B4 plasmid pKNR01, complete sequence
NC_006970.2 Rhodococcus opacus B4 plasmid pKNR02, complete sequence
NC_012520.1 Rhodococcus opacus B4 plasmid pROB01, complete sequence
NC_012521.1 Rhodococcus opacus B4 plasmid pROB02, complete sequence
NC_012522.1 Rhodococcus opacus B4, complete genome
NC_012523.1 Rhodococcus opacus B4 plasmid pKNR, complete sequence
NC_006833.1 Wolbachia endosymbiont strain TRS of Brugia malayi, complete sequence
NC_003042.1 Clostridium perfringens str. 13 plasmid pCP13, complete sequence
NC_003366.1 Clostridium perfringens str. 13, complete genome
NC_002947.3 Pseudomonas putida KT2440 chromosome, complete genome
NC_012660.1 Pseudomonas fluorescens SBW25, complete genome
NC_000918.1 Aquifex aeolicus VF5, complete sequence
NC_001880.1 Aquifex aeolicus VF5 plasmid ece1, complete sequence
NC_008245.1 Francisella tularensis subsp. tularensis FSC198, complete genome
NC_009332.1 Streptococcus pyogenes str. Manfredo, complete genome
NC_003997.3 Bacillus anthracis str. Ames, complete sequence
NC_010610.1 Lactobacillus fermentum IFO 3956, complete genome
NC_002946.2 Neisseria gonorrhoeae FA 1090, complete sequence
NC_002737.2 Streptococcus pyogenes M1 GAS, complete sequence
NC_017482.1 Lactobacillus rhamnosus GG, complete genome
NC_000911.1 Synechocystis sp. PCC 6803, complete genome
NC_005229.1 Synechocystis sp. PCC 6803 plasmid pSYSM, complete sequence
NC_005230.1 Synechocystis sp. PCC 6803 plasmid pSYSA, complete sequence
NC_005231.1 Synechocystis sp. PCC 6803 plasmid pSYSG, complete sequence
NC_005232.1 Synechocystis sp. PCC 6803 plasmid pSYSX, complete sequence
NC_007332.1 Mycoplasma hyopneumoniae 7448, complete genome
NC_006509.1 Geobacillus kaustophilus HTA426 plasmid pHTA426, complete sequence
NC_006510.1 Geobacillus kaustophilus HTA426, complete genome
NC_002973.6 Listeria monocytogenes serotype 4b str. F2365, complete sequence
NC_007486.1 Rhodococcus erythropolis PR4 plasmid pREC1, complete sequence
NC_007487.1 Rhodococcus erythropolis PR4 plasmid pREC2, complete sequence
NC_007491.1 Rhodococcus erythropolis PR4 plasmid pREL1, complete sequence
NC_012490.1 Rhodococcus erythropolis PR4, complete genome
NC_013654.1 Escherichia coli SE15, complete genome
NC_013655.1 Escherichia coli SE15 plasmid pECSF1, complete sequence
NC_000117.1 Chlamydia trachomatis D/UW-3/CX chromosome, complete genome
NC_000921.1 Helicobacter pylori J99, complete sequence
NC_003919.1 Xanthomonas citri pv. citri str. 306, complete sequence
NC_003921.3 Xanthomonas citri pv. citri str. 306 plasmid pXAC33, complete sequence
NC_003922.1 Xanthomonas citri pv. citri str. 306 plasmid pXAC64, complete sequence
NC_002940.2 [Haemophilus] ducreyi 35000HP, complete sequence
NC_002953.3 Staphylococcus aureus subsp. aureus MSSA476, complete genome
NC_005951.1 Staphylococcus aureus subsp. aureus MSSA476 plasmid pSAS, complete sequence
NC_009641.1 Staphylococcus aureus subsp. aureus str. Newman, complete genome
NC_003197.1 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 chromosome, complete genome
NC_003277.1 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 plasmid pSLT, complete sequence
NC_017100.1 Acetobacter pasteurianus IFO 3283-03, complete genome
NC_017101.1 Acetobacter pasteurianus IFO 3283-03 plasmid pAPA03-010, complete sequence
NC_017109.1 Acetobacter pasteurianus IFO 3283-03 plasmid pAPA03-060, complete sequence
NC_017118.1 Acetobacter pasteurianus IFO 3283-03 plasmid pAPA03-020, complete sequence
NC_017119.1 Acetobacter pasteurianus IFO 3283-03 plasmid pAPA03-030, complete sequence
NC_017120.1 Acetobacter pasteurianus IFO 3283-03 plasmid pAPA03-050, complete sequence
NC_017142.1 Acetobacter pasteurianus IFO 3283-03 plasmid pAPA03-040, complete sequence
NC_002127.1 Escherichia coli O157:H7 str. Sakai plasmid pOSAK1, complete sequence
NC_002128.1 Escherichia coli O157:H7 str. Sakai plasmid pO157, complete sequence
NC_002695.1 Escherichia coli O157:H7 str. Sakai, complete genome
NC_011836.1 Clostridium kluyveri NBRC 12016 plasmid pCKL1, complete sequence
NC_011837.1 Clostridium kluyveri NBRC 12016, complete genome
NC_007168.1 Staphylococcus haemolyticus JCSC1435, complete genome
NC_007169.1 Staphylococcus haemolyticus JCSC1435 plasmid pSHaeA, complete sequence
NC_007170.1 Staphylococcus haemolyticus JCSC1435 plasmid pSHaeB, complete sequence
NC_007171.1 Staphylococcus haemolyticus JCSC1435 plasmid pSHaeC, complete sequence
NC_003450.3 Corynebacterium glutamicum ATCC 13032, complete genome
NC_010617.1 Kocuria rhizophila DC2201, complete genome
NC_012891.1 Streptococcus dysgalactiae subsp. equisimilis GGS_124 chromosome 1, complete sequence
NC_003080.1 Corynebacterium jeikeium K411 plasmid pKW4, complete sequence
NC_007164.1 Corynebacterium jeikeium K411, complete genome
NC_000853.1 Thermotoga maritima MSB8, complete sequence
NC_000964.3 Bacillus subtilis subsp. subtilis str. 168 complete genome
NC_006270.3 Bacillus licheniformis DSM 13 = ATCC 14580, complete sequence
NC_003361.3 Chlamydia caviae GPIC, complete sequence
NC_004720.1 Chlamydia caviae GPIC plasmid pCpGP1, complete sequence
NC_006142.1 Rickettsia typhi str. Wilmington, complete genome
NC_012004.1 Streptococcus uberis 0140J, complete genome
NC_006086.1 Streptococcus pyogenes MGAS10394, complete genome
NC_008229.1 Helicobacter acinonychis str. Sheeba, complete genome
NC_008230.1 Helicobacter acinonychis str. Sheeba plasmid pHac1, complete sequence
NC_000919.1 Treponema pallidum subsp. pallidum str. Nichols, complete sequence
NC_003098.1 Streptococcus pneumoniae R6, complete sequence
NC_013854.1 Azospirillum sp. B510, complete genome
NC_013855.1 Azospirillum sp. B510 plasmid pAB510a, complete sequence
NC_013856.1 Azospirillum sp. B510 plasmid pAB510b, complete sequence
NC_013857.1 Azospirillum sp. B510 plasmid pAB510c, complete sequence
NC_013858.1 Azospirillum sp. B510 plasmid pAB510d, complete sequence
NC_013859.1 Azospirillum sp. B510 plasmid pAB510e, complete sequence
NC_013860.1 Azospirillum sp. B510 plasmid pAB510f, complete sequence
NC_002252.1 Buchnera aphidicola str. APS (Acyrthosiphon pisum) plasmid pTrp, complete sequence
NC_002253.1 Buchnera aphidicola str. APS (Acyrthosiphon pisum) plasmid pLeu, complete sequence
NC_002528.1 Buchnera aphidicola str. APS (Acyrthosiphon pisum), complete genome
NC_006055.1 Mesoplasma florum L1, complete sequence
