NZ_CP016824.1 Streptomyces sampsonii strain KJ40 chromosome, complete genome
NZ_CP023962.1 Yersinia frederiksenii strain FDAARGOS_417 chromosome, complete genome
NZ_CP015583.1 Roseomonas gilardii strain U14-5 chromosome 1, complete sequence
NZ_CP015584.1 Roseomonas gilardii strain U14-5 chromosome 2, complete sequence
NZ_CP015585.1 Roseomonas gilardii strain U14-5 plasmid 1, complete sequence
NZ_CP015586.1 Roseomonas gilardii strain U14-5 plasmid 2, complete sequence
NZ_CP015587.1 Roseomonas gilardii strain U14-5 plasmid 3, complete sequence
NZ_CP011155.1 Bacillus cereus strain HN001, complete genome
NZ_CP011156.1 Bacillus cereus strain HN001 plasmid pRML01, complete sequence
NZ_CP011157.1 Bacillus cereus strain HN001 plasmid pRML02, complete sequence
NZ_CP045192.1 Tenacibaculum mesophilum strain DSM 13764 chromosome, complete genome
NZ_CP038305.1 Escherichia coli O157:H7 strain SS NE 1040-1 chromosome, complete genome
NZ_CP038306.1 Escherichia coli O157:H7 strain SS NE 1040-1 plasmid pNE1040-2, complete sequence
NZ_CP038307.1 Escherichia coli O157:H7 strain SS NE 1040-1 plasmid pNE1040-3, complete sequence
NZ_CP038308.1 Escherichia coli O157:H7 strain SS NE 1040-1 plasmid pNE1040-1, complete sequence
NZ_CP041644.1 Klebsiella pneumoniae strain NKU_Kleb8A7 chromosome, complete genome
NZ_CP041645.1 Klebsiella pneumoniae strain NKU_Kleb8A7 plasmid pKleb8A7, complete sequence
NZ_CP043028.1 Pseudobutyrivibrio xylanivorans strain MA3014 chromosome 1, complete sequence
NZ_CP043029.1 Pseudobutyrivibrio xylanivorans strain MA3014 plasmid pNP95, complete sequence
NZ_CP043030.1 Pseudobutyrivibrio xylanivorans strain MA3014 chromosome PxyII, complete sequence
NZ_CP029192.1 Streptomyces venezuelae strain ATCC 14584 chromosome, complete genome
NZ_CP023474.1 Brevibacillus brevis X23 chromosome, complete genome
NZ_CP031271.1 Staphylococcus caprae strain 26D chromosome, complete genome
