,all_hits,description,hit_num,name,species
0,Chitinase_expanded,"NZ_CP019206.1 Salmonella enterica subsp. enterica serovar Saintpaul strain CFSAN004174 chromosome, complete genome",1.0,NZ_CP019206.1,Salmonella enterica
1,,"NZ_CP019207.1 Salmonella enterica subsp. enterica serovar Saintpaul strain CFSAN004174 plasmid pCFSAN004174, complete sequence",0.0,NZ_CP019207.1,Salmonella enterica
2,Chitinase_expanded,"NZ_CP044188.1 Salmonella enterica subsp. enterica strain AR-0401 chromosome, complete genome",1.0,NZ_CP044188.1,Salmonella enterica
3,,"NZ_CP044189.1 Salmonella enterica subsp. enterica strain AR-0401 plasmid pAR-0401-1, complete sequence",0.0,NZ_CP044189.1,Salmonella enterica
4,,"NZ_CP044190.1 Salmonella enterica subsp. enterica strain AR-0401 plasmid pAR-0401-2, complete sequence",0.0,NZ_CP044190.1,Salmonella enterica
5,Chitinase_expanded,"NZ_CP019189.1 Salmonella enterica subsp. enterica serovar Poona str. ATCC BAA-1673 chromosome, complete genome",1.0,NZ_CP019189.1,Salmonella enterica
6,,"NZ_CP019190.1 Salmonella enterica subsp. enterica serovar Poona str. ATCC BAA-1673 plasmid pATCCBAA1673_01, complete sequence",0.0,NZ_CP019190.1,Salmonella enterica
7,,"NZ_CP019191.1 Salmonella enterica subsp. enterica serovar Poona str. ATCC BAA-1673 plasmid pATCCBAA1673_02, complete sequence",0.0,NZ_CP019191.1,Salmonella enterica
8,,"NZ_CP029877.1 Salmonella enterica subsp. enterica serovar Typhi strain 311189_224186 plasmid pHCM1, complete sequence",0.0,NZ_CP029877.1,Salmonella enterica
9,Chitinase_expanded,"NZ_CP029878.1 Salmonella enterica subsp. enterica serovar Typhi strain 311189_224186 chromosome, complete genome",1.0,NZ_CP029878.1,Salmonella enterica
10,Chitinase_expanded,"NZ_CP007216.2 Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1927 chromosome, complete genome",1.0,NZ_CP007216.2,Salmonella enterica
11,Chitinase_expanded,NZ_LS483465.1 Salmonella enterica subsp. enterica serovar Senftenberg strain NCTC10080 chromosome 1,1.0,NZ_LS483465.1,Salmonella enterica
12,Chitinase_expanded,"NZ_CP045757.1 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000669 chromosome, complete genome",1.0,NZ_CP045757.1,Salmonella enterica
13,,"NZ_CP045758.1 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000669 plasmid pCFSAN000669, complete sequence",0.0,NZ_CP045758.1,Salmonella enterica
14,,"NC_021817.1 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000189 plasmid unnamed, complete sequence",0.0,NC_021817.1,Salmonella enterica
15,Chitinase_expanded,"NC_021844.1 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000189, complete sequence",1.0,NC_021844.1,Salmonella enterica
16,Chitinase_expanded,"NZ_CP050723.1 Salmonella enterica subsp. enterica serovar Enteritidis strain SE74 chromosome, complete genome",1.0,NZ_CP050723.1,Salmonella enterica
