,all_hits,description,hit_num,name,species
0,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_QODI01000091.1 Pseudomonas sp. Q1 PROKKA_91, whole genome shotgun sequence",3.0,NZ_QODI01000091.1,Pseudomonas sp.
1,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_QAIK01000198.1 Pseudomonas sp. HMWF021 NODE_1542_length_10718_cov_11.952976, whole genome shotgun sequence",6.0,NZ_QAIK01000198.1,Pseudomonas sp.
2,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_SOEK01000059.1 Pseudomonas sp. OV341 Ga0215802_159, whole genome shotgun sequence",7.0,NZ_SOEK01000059.1,Pseudomonas sp.
3,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_PVZA01000046.1 Pseudomonas sp. NFACC11-2 Ga0058945_146, whole genome shotgun sequence",4.0,NZ_PVZA01000046.1,Pseudomonas sp.
4,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_QEOF01000027.1 Pseudomonas sp. OV508 Ga0215806_127, whole genome shotgun sequence",4.0,NZ_QEOF01000027.1,Pseudomonas sp.
5,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_CP027760.1 Pseudomonas sp. R4-34-07 chromosome, complete genome",4.0,NZ_CP027760.1,Pseudomonas sp.
6,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_FPJC01000063.1 Pseudomonas sp. NFACC04-2, whole genome shotgun sequence",4.0,NZ_FPJC01000063.1,Pseudomonas sp.
7,A1_expanded A2_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_CP027734.1 Pseudomonas sp. R1-43-08 chromosome, complete genome",5.0,NZ_CP027734.1,Pseudomonas sp.
8,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_NMRE01000216.1 Pseudomonas sp. IB20 NODE_216_length_1044_cov_2.81587, whole genome shotgun sequence",5.0,NZ_NMRE01000216.1,Pseudomonas sp.
9,A1_expanded A2_expanded TcB_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_WIVQ01000359.1 Pseudomonas sp. FSL R10-1339 NODE_374_length_202_cov_22.720000, whole genome shotgun sequence",6.0,NZ_WIVQ01000359.1,Pseudomonas sp.
10,A1_expanded A1_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_PHHS01000064.1 Pseudomonas sp. WCS365 WCS365_contig65, whole genome shotgun sequence",8.0,NZ_PHHS01000064.1,Pseudomonas sp.
11,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_WIBD01000081.1 Pseudomonas sp. SZ57 contig_83, whole genome shotgun sequence",9.0,NZ_WIBD01000081.1,Pseudomonas sp.
12,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_MWTQ01000158.1 Pseudomonas sp. Ep R1 Scaffold_160, whole genome shotgun sequence",4.0,NZ_MWTQ01000158.1,Pseudomonas sp.
13,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_PHSU01000082.1 Pseudomonas sp. QS1027 NG-9811_QS116_lib127709_4633_4663_4674_contig_110, whole genome shotgun sequence",7.0,NZ_PHSU01000082.1,Pseudomonas sp.
14,A1_expanded A1_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_AKJE01000126.1 Pseudomonas sp. GM79 PMI36_contig166.166, whole genome shotgun sequence",10.0,NZ_AKJE01000126.1,Pseudomonas sp.
15,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_POEF01000127.1 Pseudomonas sp. GW460-LB6 NODE_129_length_230_cov_0.947712, whole genome shotgun sequence",3.0,NZ_POEF01000127.1,Pseudomonas sp.
16,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_QTUF01000034.1 Pseudomonas sp. OV577 Ga0215808_134, whole genome shotgun sequence",5.0,NZ_QTUF01000034.1,Pseudomonas sp.
17,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_LT707062.1 Pseudomonas sp. A214 genome assembly, chromosome: I",5.0,NZ_LT707062.1,Pseudomonas sp.
18,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_AKJS01000210.1 Pseudomonas sp. GM21 PMI22_contig_254.254, whole genome shotgun sequence",6.0,NZ_AKJS01000210.1,Pseudomonas sp.
19,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_FOVS01000095.1 Pseudomonas sp. NFACC24-1, whole genome shotgun sequence",4.0,NZ_FOVS01000095.1,Pseudomonas sp.
20,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_CP027727.1 Pseudomonas sp. R5-89-07 chromosome, complete genome",4.0,NZ_CP027727.1,Pseudomonas sp.
21,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_VOBI01000057.1 Pseudomonas sp. ANT_H12B ctg00057_536, whole genome shotgun sequence",7.0,NZ_VOBI01000057.1,Pseudomonas sp.
22,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_AKJH01000183.1 Pseudomonas sp. GM67 PMI33_contig252.252, whole genome shotgun sequence",8.0,NZ_AKJH01000183.1,Pseudomonas sp.
23,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_RCOE01000307.1 Pseudomonas sp. Sample_10 NODE_55_length_34355_cov_34.187959, whole genome shotgun sequence",4.0,NZ_RCOE01000307.1,Pseudomonas sp.
24,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_RCOD01000106.1 Pseudomonas sp. Sample_11 NODE_22_length_84948_cov_40.827901, whole genome shotgun sequence",5.0,NZ_RCOD01000106.1,Pseudomonas sp.
25,A1_expanded A1_expanded A2_expanded A2_expanded A2_expanded TcB_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_QARE02000057.1 Pseudomonas sp. RIT 409 RIT409_S1_57, whole genome shotgun sequence",15.0,NZ_QARE02000057.1,Pseudomonas sp.
26,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_SNYU01000018.1 Pseudomonas sp. OV184 Ga0215797_109, whole genome shotgun sequence",4.0,NZ_SNYU01000018.1,Pseudomonas sp.
27,A1_expanded A2_expanded TcB_expanded TcB_expanded TcB_expanded TcC_expanded TcC_expanded,"LKCF01003901.1 Pseudomonas sp. NZIPFR-PS2 scaffold9_001, whole genome shotgun sequence",7.0,LKCF01003901.1,Pseudomonas sp.
28,A1_expanded A2_expanded TcB_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_WIVR01000272.1 Pseudomonas sp. FSL R10-1350 NODE_277_length_201_cov_939.475806, whole genome shotgun sequence",10.0,NZ_WIVR01000272.1,Pseudomonas sp.
29,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_LIUV01000061.1 Pseudomonas sp. 655 contig_61, whole genome shotgun sequence",5.0,NZ_LIUV01000061.1,Pseudomonas sp.
30,A1_expanded A1_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_VOBM01000105.1 Pseudomonas sp. ANT_J28 ctg00105_904, whole genome shotgun sequence",10.0,NZ_VOBM01000105.1,Pseudomonas sp.
31,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_AP020337.1 Pseudomonas sp. KUIN-1 DNA, complete genome",7.0,NZ_AP020337.1,Pseudomonas sp.
32,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_MJMK01000061.1 Pseudomonas sp. 7SR1 seq9, whole genome shotgun sequence",4.0,NZ_MJMK01000061.1,Pseudomonas sp.
33,TcB_expanded TcB_expanded TcB_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_FNPW01000042.1 Pseudomonas sp. NFIX28, whole genome shotgun sequence",8.0,NZ_FNPW01000042.1,Pseudomonas sp.
34,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded,NZ_CP024866.1 Pseudomonas sp. ACM7 chromosome,5.0,NZ_CP024866.1,Pseudomonas sp.
35,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_RCNX01000105.1 Pseudomonas sp. Sample_23 NODE_22_length_87702_cov_27.357228, whole genome shotgun sequence",6.0,NZ_RCNX01000105.1,Pseudomonas sp.
36,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_AKJU01000280.1 Pseudomonas sp. GM17 PMI20_contig_306.306, whole genome shotgun sequence",3.0,NZ_AKJU01000280.1,Pseudomonas sp.
37,A1_expanded A1_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_AKJT01000140.1 Pseudomonas sp. GM18 PMI21_contig_177.177, whole genome shotgun sequence",12.0,NZ_AKJT01000140.1,Pseudomonas sp.
38,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_PPRY01000171.1 Pseudomonas sp. MPR-ANC1 NODE_171_length_211_cov_8.3806, whole genome shotgun sequence",4.0,NZ_PPRY01000171.1,Pseudomonas sp.
39,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_CP022411.1 Pseudomonas sp. RU47 chromosome, complete genome",5.0,NZ_CP022411.1,Pseudomonas sp.
40,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_QUMR01000030.1 Pseudomonas sp. OV221 Ga0215798_130, whole genome shotgun sequence",5.0,NZ_QUMR01000030.1,Pseudomonas sp.
41,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_FODL01000038.1 Pseudomonas sp. NFACC39-1, whole genome shotgun sequence",7.0,NZ_FODL01000038.1,Pseudomonas sp.
42,A1_expanded A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_VIUK01000070.1 Pseudomonas sp. SJZ080 Ga0314246_170, whole genome shotgun sequence",14.0,NZ_VIUK01000070.1,Pseudomonas sp.
43,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_LKBY01000178.1 Pseudomonas sp. ICMP 8385 scaffold99, whole genome shotgun sequence",3.0,NZ_LKBY01000178.1,Pseudomonas sp.
44,A1_expanded A1_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_SSBS01000012.1 Pseudomonas sp. M7D1 M7D1_Contig_12_consensus_sequence, whole genome shotgun sequence",13.0,NZ_SSBS01000012.1,Pseudomonas sp.
45,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_FMXV01000075.1 Pseudomonas sp. NFACC13-1, whole genome shotgun sequence",4.0,NZ_FMXV01000075.1,Pseudomonas sp.
46,A1_expanded A2_expanded TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_RHQN01000027.1 Pseudomonas sp. v388 NODE_27_length_604_cov_226.979127, whole genome shotgun sequence",12.0,NZ_RHQN01000027.1,Pseudomonas sp.
47,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_VUAZ01000259.1 Pseudomonas sp. MAFF 212408 MAFF212408_contig_259, whole genome shotgun sequence",4.0,NZ_VUAZ01000259.1,Pseudomonas sp.
