,species,refseq_id,name,description,assembly_name,assembly_level,plasmid,hit_num,Full,A1_count,A2_count,Chitinase_count,Classification,TcB_count,TcC_count,TcdA1_count,all_hits
0,Pseudomonas sp.,GCF_009600565.1,WIVP01,WIVP01,ASM960056v1,Contig,False,6,True,2.0,1.0,0.0,"['Single', 'Type2b']",1.0,2.0,1.0,TcB_expanded A2_expanded TcC_expanded TcC_expanded A1_expanded TcdA1_expanded
1,Pseudomonas sp.,GCF_001855215.1,MIFU01,MIFU01,ASM185521v1,Contig,False,6,True,3.0,1.0,0.0,"['Multiple', 'Type2b']",1.0,1.0,2.0,TcB_expanded A2_expanded TcC_expanded A1_expanded TcdA1_expanded TcdA1_expanded
2,Pseudomonas sp.,GCF_003033885.1,NZ_CP024081.1,NZ_CP024081.1 Pseudomonas sp. s211(2017) chromosome,ASM303388v1,Chromosome,False,7,True,2.0,1.0,0.0,"['Single', 'Type2b']",1.0,3.0,1.0,TcB_expanded A2_expanded TcC_expanded TcC_expanded TcC_expanded A1_expanded TcdA1_expanded
3,Pseudomonas sp.,GCF_002979955.1,PCQC01,PCQC01,ASM297995v1,Scaffold,False,7,True,2.0,1.0,0.0,"['Single', 'Type2b']",1.0,3.0,1.0,TcB_expanded A2_expanded TcC_expanded TcC_expanded TcC_expanded A1_expanded TcdA1_expanded
4,Pseudomonas sp.,GCF_002113765.1,NEJT01,NEJT01,ASM211376v1,Scaffold,False,7,True,2.0,1.0,0.0,"['Single', 'Type2b']",1.0,3.0,1.0,TcB_expanded A2_expanded TcC_expanded TcC_expanded TcC_expanded A1_expanded TcdA1_expanded
5,Pseudomonas sp.,GCF_900187645.1,FYEE01,FYEE01,3E20,Scaffold,False,16,True,6.0,2.0,0.0,"['Multiple', 'Type2b']",2.0,6.0,4.0,TcB_expanded TcB_expanded A2_expanded A2_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded A1_expanded A1_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded
6,Pseudomonas sp.,GCF_002080045.1,MUIN01,MUIN01,ASM208004v1,Contig,False,13,True,5.0,2.0,0.0,"['Multiple', 'Type2b']",2.0,4.0,3.0,TcB_expanded TcB_expanded A2_expanded A2_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded A1_expanded A1_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded
7,Pseudomonas sp.,GCF_004011755.1,NZ_CP022411.1,"NZ_CP022411.1 Pseudomonas sp. RU47 chromosome, complete genome",ASM401175v1,Complete Genome,False,6,True,2.0,1.0,0.0,"['Single', 'Type2b']",1.0,2.0,1.0,TcB_expanded A2_expanded TcC_expanded TcC_expanded A1_expanded TcdA1_expanded
8,Pseudomonas sp.,GCF_009600525.1,WIVR01,WIVR01,ASM960052v1,Contig,False,15,True,5.0,2.0,0.0,"['Multiple', 'Type2b']",2.0,6.0,3.0,TcB_expanded TcB_expanded A2_expanded A2_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded A1_expanded A1_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded
9,Pseudomonas sp.,GCF_009600035.1,WIWH01,WIWH01,ASM960003v1,Contig,False,6,True,2.0,1.0,0.0,"['Single', 'Type2b']",1.0,2.0,1.0,TcB_expanded A2_expanded TcC_expanded TcC_expanded A1_expanded TcdA1_expanded
10,Pseudomonas sp.,GCF_000801235.1,CBLV01,CBLV01,V1,Contig,False,13,True,5.0,2.0,0.0,"['Multiple', 'Type2b']",2.0,4.0,3.0,TcB_expanded TcB_expanded A2_expanded A2_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded A1_expanded A1_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded
11,Pseudomonas sp.,GCF_002113335.1,NEHI01,NEHI01,ASM211333v1,Scaffold,False,5,True,2.0,1.0,0.0,"['Single', 'Type2b', 'Simple']",1.0,1.0,1.0,TcB_expanded A2_expanded TcC_expanded A1_expanded TcdA1_expanded
12,Pseudomonas sp.,GCF_004346485.1,SMCH01,SMCH01,ASM434648v1,Scaffold,False,7,True,2.0,1.0,0.0,"['Single', 'Type2b']",1.0,3.0,1.0,TcB_expanded A2_expanded TcC_expanded TcC_expanded TcC_expanded A1_expanded TcdA1_expanded
13,Pseudomonas sp.,GCF_002263605.1,NMRE01,NMRE01,ASM226360v1,Contig,False,7,True,3.0,1.0,0.0,"['Multiple', 'Type2b']",1.0,2.0,2.0,TcB_expanded A2_expanded TcC_expanded TcC_expanded A1_expanded TcdA1_expanded TcdA1_expanded
14,Pseudomonas sp.,GCF_008124495.1,VSJH01,VSJH01,ASM812449v1,Scaffold,False,10,True,2.0,1.0,0.0,"['Single', 'Type2b']",2.0,5.0,1.0,TcB_expanded TcB_expanded A2_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded A1_expanded TcdA1_expanded
15,Pseudomonas sp.,GCF_003935425.1,RHQN01,RHQN01,ASM393542v1,Contig,False,17,True,3.0,2.0,0.0,"['Multiple', 'Type2b']",1.0,11.0,2.0,TcB_expanded A2_expanded A2_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded A1_expanded TcdA1_expanded TcdA1_expanded
16,Pseudomonas sp.,GCF_003852405.1,QAJM01,QAJM01,ASM385240v1,Scaffold,False,6,True,2.0,1.0,0.0,"['Single', 'Type2b']",1.0,2.0,1.0,TcB_expanded A2_expanded TcC_expanded TcC_expanded A1_expanded TcdA1_expanded
17,Pseudomonas sp.,GCF_009600365.1,WIVY01,WIVY01,ASM960036v1,Contig,False,9,True,3.0,2.0,0.0,"['Multiple', 'Type2b']",2.0,2.0,2.0,TcB_expanded TcB_expanded A2_expanded A2_expanded TcC_expanded TcC_expanded A1_expanded TcdA1_expanded TcdA1_expanded
18,Pseudomonas sp.,GCF_900187455.1,FYDX01,FYDX01,3E13,Scaffold,False,7,True,2.0,1.0,0.0,"['Single', 'Type2b']",1.0,3.0,1.0,TcB_expanded A2_expanded TcC_expanded TcC_expanded TcC_expanded A1_expanded TcdA1_expanded
19,Pseudomonas sp.,GCF_900108875.1,FNYJ01,FNYJ01,IMG-taxon 2600255283 annotated assembly,Scaffold,False,4,False,2.0,1.0,0.0,"['Single', 'Incomplete', 'Simple']",0.0,1.0,1.0,A2_expanded TcC_expanded A1_expanded TcdA1_expanded
20,Pseudomonas sp.,GCF_007828235.1,VIUF01,VIUF01,ASM782823v1,Scaffold,False,7,True,2.0,1.0,0.0,"['Single', 'Type2b']",1.0,3.0,1.0,TcB_expanded A2_expanded TcC_expanded TcC_expanded TcC_expanded A1_expanded TcdA1_expanded
