,species,refseq_id,name,description,assembly_name,assembly_level,plasmid,hit_num,Complete,A1_count,A2_count,TcB_count,TcC_count,TcdA1_count,all_hits
0,Proteus mirabilis,GCF_001061595.1,JVTO01,JVTO01,ASM106159v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
1,Proteus mirabilis,GCF_004570075.1,SPTN01,SPTN01,ASM457007v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
2,Proteus mirabilis,GCF_000783575.2,NZ_CP026062.1,"NZ_CP026062.1 Proteus mirabilis strain FDAARGOS_81 chromosome, complete genome",ASM78357v2,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
3,Proteus mirabilis,GCF_009907015.1,JAAATT01,JAAATT01,ASM990701v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
4,Proteus mirabilis,GCF_011383045.1,NZ_CP049942.1,"NZ_CP049942.1 Proteus mirabilis strain XH1569 chromosome, complete genome",ASM1138304v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
5,Proteus mirabilis,GCF_010590845.1,VKTS01,VKTS01,ASM1059084v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
6,Proteus mirabilis,GCF_900455195.1,UGTX01,UGTX01,40295_E02,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
7,Proteus mirabilis,GCF_001553525.1,LSGS01,LSGS01,ASM155352v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
8,Proteus mirabilis,GCF_011602825.1,JAAOMZ01,JAAOMZ01,ASM1160282v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
9,Proteus mirabilis,GCF_009718785.1,WNBF01,WNBF01,ASM971878v1,Scaffold,False,4,True,1.0,1.0,1.0,1.0,1.0,TcB_expanded A2_expanded TcC_expanded TcdA1_expanded
10,Proteus mirabilis,GCF_014212675.1,JACKXU01,JACKXU01,ASM1421267v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
11,Proteus mirabilis,GCF_014212535.1,JACKXM01,JACKXM01,ASM1421253v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
12,Proteus mirabilis,GCF_004569205.1,SPSR01,SPSR01,ASM456920v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
13,Proteus mirabilis,GCF_004570235.1,SPSX01,SPSX01,ASM457023v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
14,Proteus mirabilis,GCF_004570175.1,SPSY01,SPSY01,ASM457017v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
15,Proteus mirabilis,GCF_000160755.1,ACLE01,ACLE01,ASM16075v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
16,Proteus mirabilis,GCF_013256075.1,NZ_CP053898.1,"NZ_CP053898.1 Proteus mirabilis strain YPM35 chromosome, complete genome",ASM1325607v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
17,Proteus mirabilis,GCF_013256075.1,NZ_CP053899.1,"NZ_CP053899.1 Proteus mirabilis strain YPM35 plasmid pJPM35-1, complete sequence",ASM1325607v1,Complete Genome,True,0,False,0.0,0.0,0.0,0.0,0.0,
18,Proteus mirabilis,GCF_013256075.1,NZ_CP053900.1,"NZ_CP053900.1 Proteus mirabilis strain YPM35 plasmid pJPM35-2, complete sequence",ASM1325607v1,Complete Genome,True,0,False,0.0,0.0,0.0,0.0,0.0,
